tsne_1,tsne_2,pca_1,pca_2,simplified_label,original_label
-6.4095597,1.9042336,-4.682260708276569,0.38869796518292205,tip,finger tip
-10.825477,2.1858094,-5.504530018253036,-1.3796641614848684,tip,finger tip
-5.4624667,0.12935534,-5.814169589548495,0.12345139388864709,tip,finger tip
-6.624273,1.6270221,-4.915773365766213,-1.2025869933701456,tip,finger tip
-10.58629,2.4697268,-5.331952645856621,-2.2133099070656495,tip,finger tip
-8.918594,0.09051691,-4.698366481231924,0.02861225802459087,tip,finger tip
-5.9753823,0.07395807,-5.361234886413127,0.896849373293752,tip,finger tip
-6.4861693,-0.13100104,-5.477391334497925,0.7737231983152765,tip,finger tip
-7.0530725,-0.70317215,-4.93404776770038,0.894476617184968,tip,finger tip
-8.868708,0.37021536,-5.1726580064084065,-0.7285417399337134,tip,finger tip
-7.7367635,1.256382,-4.086030986636533,-0.27496423053699837,tip,finger tip
-11.259293,1.6553078,-4.300945815680647,-2.005780679064889,tip,finger tip
-6.46963,1.0751959,-4.92045647109573,-1.0994010239994123,tip,finger tip
-8.155912,-1.6373878,-5.005755126021183,-0.5008537144441643,tip,finger tip
-7.243175,-0.006484218,-5.458602565662623,-1.5014401077975308,tip,finger tip
-6.1976433,-0.8410408,-5.858970879644292,-0.29010056368396436,tip,finger tip
-5.9507976,-1.7088767,-4.891617112128198,-0.8046727955021304,tip,finger tip
-8.586588,-2.111087,-4.20926892639216,0.22789640968362743,tip,finger tip
-7.496376,1.9286962,-5.401369776179376,-1.480506917733902,tip,finger tip
-8.0410595,0.91779274,-4.595653391269067,0.8053341928875599,tip,finger tip
-5.720997,0.79440665,-5.195360512933319,0.302190530300212,tip,finger tip
-6.4293437,0.20044185,-5.299451619221875,0.6668379229252871,tip,finger tip
9.11195,-1.5811266,-2.5988059638753462,13.172064226044665,tip,finger tip
-5.8998184,1.6651144,-4.954288061797546,-0.42324760774682696,tip,finger tip
-10.765182,2.2846575,-5.553120428039662,-1.0807450357757713,tip,finger tip
-10.82714,2.1684446,-5.173408012368001,-0.2958120472350657,tip,finger tip
9.1661415,-1.617433,-2.853240142556177,14.09303634848145,middle,finger middle
-7.9646897,0.57187766,-4.7352688312263975,-0.19802660225147087,middle,finger middle
-8.774428,-2.5755267,-4.458303432695437,-1.959043473756954,middle,finger middle
-7.3943787,0.669267,-5.242120364009542,-0.7515482923984718,middle,finger middle
-8.453477,-1.6080437,-5.0013987644820705,0.451399437730087,middle,finger middle
-8.103898,-1.8612968,-4.681661551781147,0.5810856330846917,middle,finger middle
-7.565261,0.60241455,-5.317083535674796,-0.12087320777982244,middle,finger middle
-9.0964775,-1.9998554,-4.38820917359515,-0.6625936559635094,middle,finger middle
-7.9466853,0.22703104,-5.197570835421176,0.02580030260301674,middle,finger middle
-8.137775,-0.9948489,-5.197361223880529,-1.3059851582367714,middle,finger middle
